"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"TOP (mm)";"GND1 (mm)";"S1 (mm)";"PW1 (mm)";"S2 (mm)";"GND2 (mm)";"PW2 (mm)";"BOT (mm)";
394;"USB2_VBUS";2;2;1.0397;18.8155;0.0000;19.8552;0.4596;0.0000;0.0000;0.0000;17.2569;0.0000;0.0000;1.0990;
395;"PCIE2_TXN";2;1;1.0397;53.0738;0.0000;54.1135;51.8527;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2211;
396;"PCIE2_TXP";2;1;1.0397;53.0738;0.0000;54.1135;51.8527;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2211;
397;"PCIE1_RXN";2;2;1.0397;62.5541;0.0000;63.5938;1.2733;0.0000;60.0597;0.0000;0.0000;0.0000;0.0000;1.2211;
400;"Net-(U17-REF_REXT)";2;0;0.0000;1.5541;0.0000;1.5541;1.5541;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
401;"Net-(U17-REFCLK_SEL_0)";2;1;1.0397;1.9548;0.0000;2.9945;0.7625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.1923;
402;"Net-(D5-K)";2;0;0.0000;1.5157;0.0000;1.5157;1.5157;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
403;"SYS_NRST";3;3;1.3034;73.6714;0.0000;74.9748;1.6586;0.0000;29.6041;0.0000;40.1322;0.0000;0.0000;2.2765;
404;"NWDOG";2;2;0.5274;69.5216;0.0000;70.0490;0.4681;0.0000;69.0535;0.0000;0.0000;0.0000;0.0000;0.0000;
405;"Net-(U17-REFCLK_SEL_1)";2;1;1.0397;2.5237;0.0000;3.5634;1.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.4237;
406;"Net-(U2-EN/PSV)";2;0;0.0000;2.0529;0.0000;2.0529;2.0529;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
407;"Net-(D6-A)";2;0;0.0000;1.2445;0.0000;1.2445;1.2445;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
408;"Net-(U2-ENL)";2;0;0.0000;4.4005;0.0000;4.4005;4.4005;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
409;"BOOT_SEL";3;1;1.0397;40.4341;0.0000;41.4738;38.6931;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.7410;
411;"Net-(D6-K)";2;0;0.0000;1.6422;0.0000;1.6422;1.6422;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
412;"PG_VIN";3;2;0.5274;78.2553;0.0000;78.7827;19.2359;0.0000;59.0194;0.0000;0.0000;0.0000;0.0000;0.0000;
425;"PCIE1_NCLKREQ";2;0;0.0000;1.3130;0.0000;1.3130;1.3130;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
427;"PCIE2_NCLKREQ";2;0;0.0000;1.2876;0.0000;1.2876;1.2876;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
429;"/IO/LNA_IN";3;0;0.0000;4.6208;0.0000;4.6208;4.6208;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
430;"Net-(J4-In)";3;0;0.0000;3.7760;0.0000;3.7760;3.7760;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
431;"Net-(J3-Pin_7)";2;0;0.0000;4.5016;0.0000;4.5016;4.5016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
432;"Net-(J3-Pin_1)";2;0;0.0000;2.5358;0.0000;2.5358;2.5358;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
433;"Net-(J3-Pin_9)";3;0;0.0000;3.6103;0.0000;3.6103;3.6103;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
445;"/IO/SIO1";2;1;1.0397;8.9281;0.0000;9.9678;0.7000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;8.2281;
